Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
Real Madrid,38,29,6,3,106,41,93,2.03,1.16,0.87,-0.27
FC Barcelona,38,28,6,4,116,37,90,2.12,1.37,0.75,0.93
Club Atlético de Madrid,38,23,9,6,70,27,78,1.65,1.36,0.29,-0.18
Sevilla FC,38,21,9,8,69,49,72,1.63,1.58,0.05,-0.21
Villarreal CF,38,19,10,9,56,33,67,1.74,1.42,0.32,-0.46
Real Sociedad de Fútbol,38,19,7,12,59,53,64,1.72,1.59,0.13,-0.3
Athletic Club Bilbao,38,19,8,11,53,43,63,1.55,1.45,0.1,-0.33
RCD Espanyol,38,15,11,12,49,67,56,1.24,1.86,-0.62,-0.6
Deportivo Alavés,38,14,11,13,41,43,55,1.3,1.58,-0.28,-0.11
SD Eibar,38,15,9,14,56,51,54,1.74,1.35,0.39,-0.45
Málaga CF,38,12,10,16,49,55,50,1.73,1.59,0.14,-0.41
Valencia CF,38,13,7,18,56,65,46,1.6,1.58,0.02,-0.12
Real Club Celta de Vigo,38,13,6,19,53,69,45,1.45,1.52,-0.07,-0.32
UD Las Palmas,38,10,9,19,60,74,39,1.5,1.71,-0.21,-0.31
Real Betis Balompié,38,10,9,19,41,64,39,1.49,1.64,-0.14,-0.15
Real Club Deportivo de La Coruña,38,8,12,18,43,61,36,1.62,1.6,0.02,-0.35
CD Leganés,38,8,9,21,36,55,33,1.36,1.55,-0.2,-0.27
Real Sporting de Gijón,38,7,10,21,42,72,31,1.21,1.95,-0.74,-0.1
CA Osasuna,38,4,10,24,40,94,22,1.43,1.6,-0.17,-0.04
Granada CF,38,4,8,26,30,82,20,1.3,1.92,-0.62,-0.4
