Team,MP,W,D,L,GF,GA,Pts,xG,xGA,xGD,xG_vs_Actual
FC Barcelona,38,28,9,1,99,29,93,2.0,1.34,0.66,-0.61
Club Atlético de Madrid,38,23,10,5,58,22,79,1.45,1.23,0.22,-0.13
Real Madrid CF,38,22,10,6,94,44,76,2.15,1.38,0.77,0.32
Valencia CF,38,22,7,9,65,38,73,1.58,1.54,0.04,0.13
Villarreal CF,38,18,7,13,57,50,61,1.5,1.57,-0.07,-0.07
Real Betis Balompié,38,18,6,14,60,61,60,1.37,1.37,0.0,-0.23
Sevilla FC,38,17,7,14,49,58,58,1.67,1.55,0.12,-0.38
Getafe Club de Fútbol,38,15,10,13,42,33,55,1.25,1.29,-0.04,-0.14
SD Eibar,38,14,9,15,44,50,51,1.54,1.57,-0.03,-0.45
Girona FC,38,14,9,15,50,59,51,1.54,1.56,-0.02,-0.22
Real Club Celta de Vigo,38,13,10,15,59,60,49,1.49,1.5,-0.01,-0.01
RCD Espanyol,38,11,13,14,36,42,49,1.3,1.46,-0.16,-0.3
Real Sociedad de Fútbol,38,14,7,17,66,59,49,1.62,1.54,0.08,-0.06
Deportivo Alavés,38,12,7,19,40,50,47,1.33,1.6,-0.27,-0.17
Levante UD,38,11,14,13,44,58,46,1.29,1.63,-0.34,-0.43
Athletic Club Bilbao,38,10,13,15,41,49,43,1.46,1.56,-0.1,-0.19
CD Leganés,38,12,7,19,34,55,43,1.32,1.42,-0.1,-0.45
Real Club Deportivo de La Coruña,38,6,11,21,38,76,30,1.46,1.64,-0.18,-0.35
UD Las Palmas,38,5,7,26,24,74,22,1.36,1.63,-0.27,-0.24
Málaga CF,38,5,5,28,24,61,20,1.3,1.59,-0.29,-0.4
